# Wettercode - "weatherng-sd & weatherng"
# http://edg3.co.uk/snippets/weather-location-codes/
#
# Deutschland 
# http://edg3.co.uk/snippets/weather-location-codes/germany/
#
# mango 06.08.2012
#
GMXX0001, Ahrensburg
GMXX0002, Altenbruch
GMXX0003, Aschaffenburg
GMXX0004, Augsburg
GMXX0005, Bamberg
GMXX0006, Bergisch Gladbach
GMXX0007, Berlin
GMXX0008, Berlin/Schönefeld
GMXX0009, Blexen
GMXX0010, Bonn
GMXX0011, Bottrop
GMXX0012, Brandenburg
GMXX0013, Braunschweig
GMXX0014, Bremen
GMXX0015, Bremerhaven
GMXX0016, Chemnitz
GMXX0017, Cloppenburg
GMXX0018, Köln
GMXX0019, Cuxhaven
GMXX0020, Darmstadt
GMXX0021, Delmenhorst
GMXX0022, Dessau
GMXX0023, Dobeln
GMXX0024, Dortmund
GMXX0025, Dresden
GMXX0026, Duhnen
GMXX0027, Duisburg
GMXX0028, Düsseldorf
GMXX0029, Eberswalde
GMXX0030, Eckernforde
GMXX0031, Elmshorn
GMXX0032, Emden
GMXX0033, Erfurt
GMXX0034, Erlangen
GMXX0035, Essen
GMXX0036, Esslingen
GMXX0037, Euskirchen
GMXX0038, Falkensee
GMXX0039, Flensburg
GMXX0040, Frankfurt/Main
GMXX0041, Freiburg/Breisgau
GMXX0042, Freising
GMXX0043, Fürth
GMXX0044, Gelsenkirchen
GMXX0045, Gettorf
GMXX0046, Goppingen
GMXX0047, Hagen
GMXX0048, Halle
GMXX0049, Hamburg
GMXX0050, Hanau Am Main
GMXX0051, Hannover
GMXX0052, Harrislee
GMXX0053, Heidelberg
GMXX0054, Heilbronn
GMXX0055, Hennigsdorf
GMXX0056, Herne
GMXX0057, Hildesheim
GMXX0058, Hinte
GMXX0059, Hurth
GMXX0060, Ingolstadt
GMXX0061, Itzehoe
GMXX0062, Jülich
GMXX0063, Karlsruhe
GMXX0064, Kiel
GMXX0065, Kitzingen
GMXX0066, Koblenz
GMXX0067, Krefeld
GMXX0068, Kronshagen
GMXX0069, Landshut
GMXX0070, Langenhagen
GMXX0071, Leer
GMXX0072, Leipzig
GMXX0073, Leverkusen
